window,q,rho,epsilon
13,-5.0,0.004546098563593455,1e-20
13,-2.0,0.002253814102882565,1e-20
13,0.0,0.0021566105230108883,1e-20
13,2.0,0.0025832836938518293,1e-20
13,5.0,0.00338885778219875,1e-20
21,-5.0,0.0031305065995320095,1e-20
21,-2.0,0.0015918911616998306,1e-20
21,0.0,0.0013770409714508203,1e-20
21,2.0,0.0017554087337553015,1e-20
21,5.0,0.0035780766816484767,1e-20
34,-5.0,0.0010701400883675748,1e-20
34,-2.0,0.000675351450753458,1e-20
34,0.0,0.0011067869788099576,1e-20
34,2.0,0.0021317849467205694,1e-20
34,5.0,0.0049766101312180054,1e-20
55,-5.0,0.0001355612540351215,1e-20
55,-2.0,0.00046818543869006575,1e-20
55,0.0,0.0009959785870732934,1e-20
55,2.0,0.0018449565832211008,1e-20
55,5.0,0.003889703490705741,1e-20
89,-5.0,-0.0014435791939696886,1e-20
89,-2.0,-0.0004149149789047241,1e-20
89,0.0,0.0004476695782848887,1e-20
89,2.0,0.0014815405728495162,1e-20
89,5.0,0.003406660909129635,1e-20
144,-5.0,-0.0020591367548367682,1e-20
144,-2.0,-0.0006250383267069087,1e-20
144,0.0,0.0004271182542341615,1e-20
144,2.0,0.0015559793632650455,1e-20
144,5.0,0.003393495969050253,1e-20
233,-5.0,-0.0017364520777334372,1e-20
233,-2.0,-0.00029615995810034987,1e-20
233,0.0,0.000675615783305048,1e-20
233,2.0,0.0016616813659323336,1e-20
233,5.0,0.0031799623362775585,1e-20
377,-5.0,-0.0015645240095020355,1e-20
377,-2.0,-0.0002719040450365049,1e-20
377,0.0,0.0005843234585462904,1e-20
377,2.0,0.0014381214846844164,1e-20
377,5.0,0.002719395056991047,1e-20
610,-5.0,-0.0012454102720422645,1e-20
610,-2.0,3.1469753770107696e-06,1e-20
610,0.0,0.0008236154538837987,1e-20
610,2.0,0.001635931977472769,1e-20
610,5.0,0.0028422741338118016,1e-20
987,-5.0,-0.0009170823668794056,1e-20
987,-2.0,-8.879358906030203e-05,1e-20
987,0.0,0.0004603583756891704,1e-20
987,2.0,0.0010085295500974296,1e-20
987,5.0,0.0018316546788506745,1e-20
1597,-5.0,0.00033061003722862893,1e-20
1597,-2.0,0.0006636215607242758,1e-20
1597,0.0,0.0008975235666389545,1e-20
1597,2.0,0.0011413770804914556,1e-20
1597,5.0,0.001526633865127839,1e-20
2584,-5.0,0.0006239823111747013,1e-20
2584,-2.0,0.0007778609264516662,1e-20
2584,0.0,0.0008862652032265983,1e-20
2584,2.0,0.0009992989303155197,1e-20
2584,5.0,0.0011774702973394635,1e-20
4181,-5.0,0.0020660049362207227,1e-20
4181,-2.0,0.002188691115840029,1e-20
4181,0.0,0.0022714129891382774,1e-20
4181,2.0,0.002354875828569769,1e-20
4181,5.0,0.0024814514761727887,1e-20
13,-5.0,0.004546098563593455,1e-18
13,-2.0,0.002253814102882565,1e-18
13,0.0,0.0021566105230108883,1e-18
13,2.0,0.0025832836938518293,1e-18
13,5.0,0.00338885778219875,1e-18
21,-5.0,0.0031305065995320095,1e-18
21,-2.0,0.0015918911616998306,1e-18
21,0.0,0.0013770409714508203,1e-18
21,2.0,0.0017554087337553015,1e-18
21,5.0,0.0035780766816484767,1e-18
34,-5.0,0.0010701400883675748,1e-18
34,-2.0,0.000675351450753458,1e-18
34,0.0,0.0011067869788099576,1e-18
34,2.0,0.0021317849467205694,1e-18
34,5.0,0.0049766101312180054,1e-18
55,-5.0,0.0001355612540351215,1e-18
55,-2.0,0.00046818543869006575,1e-18
55,0.0,0.0009959785870732934,1e-18
55,2.0,0.0018449565832211008,1e-18
55,5.0,0.003889703490705741,1e-18
89,-5.0,-0.0014435791939696886,1e-18
89,-2.0,-0.0004149149789047241,1e-18
89,0.0,0.0004476695782848887,1e-18
89,2.0,0.0014815405728495162,1e-18
89,5.0,0.003406660909129635,1e-18
144,-5.0,-0.0020591367548367682,1e-18
144,-2.0,-0.0006250383267069087,1e-18
144,0.0,0.0004271182542341615,1e-18
144,2.0,0.0015559793632650455,1e-18
144,5.0,0.003393495969050253,1e-18
233,-5.0,-0.0017364520777334372,1e-18
233,-2.0,-0.00029615995810034987,1e-18
233,0.0,0.000675615783305048,1e-18
233,2.0,0.0016616813659323336,1e-18
233,5.0,0.0031799623362775585,1e-18
377,-5.0,-0.0015645240095020355,1e-18
377,-2.0,-0.0002719040450365049,1e-18
377,0.0,0.0005843234585462904,1e-18
377,2.0,0.0014381214846844164,1e-18
377,5.0,0.002719395056991047,1e-18
610,-5.0,-0.0012454102720422645,1e-18
610,-2.0,3.1469753770107696e-06,1e-18
610,0.0,0.0008236154538837987,1e-18
610,2.0,0.001635931977472769,1e-18
610,5.0,0.0028422741338118016,1e-18
987,-5.0,-0.0009170823668794056,1e-18
987,-2.0,-8.879358906030203e-05,1e-18
987,0.0,0.0004603583756891704,1e-18
987,2.0,0.0010085295500974296,1e-18
987,5.0,0.0018316546788506745,1e-18
1597,-5.0,0.00033061003722862893,1e-18
1597,-2.0,0.0006636215607242758,1e-18
1597,0.0,0.0008975235666389545,1e-18
1597,2.0,0.0011413770804914556,1e-18
1597,5.0,0.001526633865127839,1e-18
2584,-5.0,0.0006239823111747013,1e-18
2584,-2.0,0.0007778609264516662,1e-18
2584,0.0,0.0008862652032265983,1e-18
2584,2.0,0.0009992989303155197,1e-18
2584,5.0,0.0011774702973394635,1e-18
4181,-5.0,0.0020660049362207227,1e-18
4181,-2.0,0.002188691115840029,1e-18
4181,0.0,0.0022714129891382774,1e-18
4181,2.0,0.002354875828569769,1e-18
4181,5.0,0.0024814514761727887,1e-18
13,-5.0,0.004546098563593455,1e-16
13,-2.0,0.002253814102882565,1e-16
13,0.0,0.0021566105230108883,1e-16
13,2.0,0.0025832836938518293,1e-16
13,5.0,0.00338885778219875,1e-16
21,-5.0,0.0031305065995320095,1e-16
21,-2.0,0.0015918911616998306,1e-16
21,0.0,0.0013770409714508203,1e-16
21,2.0,0.0017554087337553015,1e-16
21,5.0,0.0035780766816484767,1e-16
34,-5.0,0.0010701400883675748,1e-16
34,-2.0,0.000675351450753458,1e-16
34,0.0,0.0011067869788099576,1e-16
34,2.0,0.0021317849467205694,1e-16
34,5.0,0.0049766101312180054,1e-16
55,-5.0,0.0001355612540351215,1e-16
55,-2.0,0.00046818543869006575,1e-16
55,0.0,0.0009959785870732934,1e-16
55,2.0,0.0018449565832211008,1e-16
55,5.0,0.003889703490705741,1e-16
89,-5.0,-0.0014435791939696886,1e-16
89,-2.0,-0.0004149149789047241,1e-16
89,0.0,0.0004476695782848887,1e-16
89,2.0,0.0014815405728495162,1e-16
89,5.0,0.003406660909129635,1e-16
144,-5.0,-0.0020591367548367682,1e-16
144,-2.0,-0.0006250383267069087,1e-16
144,0.0,0.0004271182542341615,1e-16
