dataset,epsilon,execution_time,rmse,maximum_difference,mean_difference
RANDOM_SIGNALS,1e-20,23.91977310180664,0.0,0.0,0.0
RANDOM_SIGNALS,1e-18,21.57699203491211,0.0,0.0,0.0
RANDOM_SIGNALS,1e-16,28.15781545639038,0.0,0.0,0.0
RANDOM_SIGNALS,1e-14,25.296844244003296,0.0,0.0,0.0
RANDOM_SIGNALS,1e-12,30.616724252700806,0.0,0.0,0.0
RANDOM_SIGNALS,1e-10,28.556484699249268,0.0,0.0,0.0
RANDOM_SIGNALS,1e-08,27.45937752723694,0.0,0.0,0.0
RANDOM_SIGNALS,1e-06,28.842182159423828,0.0,0.0,0.0
DJI_IXIC,1e-20,9.693109512329102,0.0,0.0,0.0
DJI_IXIC,1e-18,10.13005781173706,0.0,0.0,0.0
DJI_IXIC,1e-16,13.090906143188477,0.0,0.0,0.0
DJI_IXIC,1e-14,9.791226387023926,0.0,0.0,0.0
DJI_IXIC,1e-12,8.96638798713684,0.0,0.0,0.0
DJI_IXIC,1e-10,9.250645399093628,0.0,0.0,0.0
DJI_IXIC,1e-08,9.080785989761353,0.0,0.0,0.0
DJI_IXIC,1e-06,9.563650131225586,0.0,0.0,0.0
SP_TEMP_RH,1e-20,6.596866130828857,0.0,0.0,0.0
SP_TEMP_RH,1e-18,7.322297811508179,0.0,0.0,0.0
SP_TEMP_RH,1e-16,6.947869062423706,0.0,0.0,0.0
SP_TEMP_RH,1e-14,6.480681419372559,0.0,0.0,0.0
SP_TEMP_RH,1e-12,6.168971300125122,0.0,0.0,0.0
SP_TEMP_RH,1e-10,7.305850267410278,0.0,0.0,0.0
SP_TEMP_RH,1e-08,7.615854501724243,0.0,0.0,0.0
SP_TEMP_RH,1e-06,7.047530889511108,0.0,0.0,0.0
SP_TMAX_TMIN,1e-20,6.726383209228516,0.0,0.0,0.0
SP_TMAX_TMIN,1e-18,7.655830383300781,0.0,0.0,0.0
SP_TMAX_TMIN,1e-16,7.255227088928223,0.0,0.0,0.0
SP_TMAX_TMIN,1e-14,7.058377265930176,0.0,0.0,0.0
SP_TMAX_TMIN,1e-12,7.536688804626465,0.0,0.0,0.0
SP_TMAX_TMIN,1e-10,6.885828733444214,0.0,0.0,0.0
SP_TMAX_TMIN,1e-08,6.523977041244507,0.0,0.0,0.0
SP_TMAX_TMIN,1e-06,6.665710926055908,0.0,0.0,0.0
