window,q,rho
13,-5.0,0.4862383546806023
21,-5.0,0.5407216979793836
34,-5.0,0.5381963289930909
55,-5.0,0.5437899996152473
89,-5.0,0.5235879832236275
144,-5.0,0.5209131626275729
233,-5.0,0.4946911907003508
377,-5.0,0.5701199453074047
610,-5.0,0.6757602265144899
987,-5.0,0.7578933682981855
1597,-5.0,0.7820296368697195
13,-4.0,0.5324357416634812
21,-4.0,0.5663540137858226
34,-4.0,0.568681682061281
55,-4.0,0.5749664756268584
89,-4.0,0.5625909000760851
144,-4.0,0.5530701520147838
233,-4.0,0.5344672073098351
377,-4.0,0.5919448766297059
610,-4.0,0.6881661512049797
987,-4.0,0.7650473329081563
1597,-4.0,0.7736107924453336
13,-3.0,0.580343404331813
21,-3.0,0.5993702614710845
34,-3.0,0.6041722408763746
55,-3.0,0.6110151283496799
89,-3.0,0.6039551775509129
144,-3.0,0.5894099984243054
233,-3.0,0.5769705934182788
377,-3.0,0.620279647499929
610,-3.0,0.7028405157538381
987,-3.0,0.7700439095690303
1597,-3.0,0.7657809448865192
13,-2.0,0.6306758619789049
21,-2.0,0.6399452458136247
34,-2.0,0.6449132737197201
55,-2.0,0.6518094038392328
89,-2.0,0.6467995036069709
144,-2.0,0.6290275535836518
233,-2.0,0.6205932729264306
377,-2.0,0.6532297829853274
610,-2.0,0.7187511153220337
987,-2.0,0.7731423181535997
1597,-2.0,0.7620112364128948
13,-1.0,0.6842203846164183
21,-1.0,0.6868163065077804
34,-1.0,0.6898296649631441
55,-1.0,0.6953581269325617
89,-1.0,0.6894283266855198
144,-1.0,0.6706819884477697
233,-1.0,0.6633125669696046
377,-1.0,0.686505646074578
610,-1.0,0.734359916379647
987,-1.0,0.7759943821160515
1597,-1.0,0.7667530586674688
13,0.0,0.7393889705291667
21,0.0,0.7363721829653223
34,0.0,0.7358635479893716
55,0.0,0.7380201495012944
89,0.0,0.7296813257227702
144,0.0,0.7123659738274817
233,0.0,0.7031084135636054
377,0.0,0.7155066771345435
610,0.0,0.7491188172997965
987,0.0,0.7818291709890904
1597,0.0,0.7820025573744088
13,1.0,0.7917408815547282
21,1.0,0.7834017496579151
34,1.0,0.7792488778099044
55,1.0,0.776467122561473
89,1.0,0.7657484934466067
144,1.0,0.7512071418244639
233,1.0,0.7391034707486869
377,1.0,0.7397796845799074
610,1.0,0.765449899773481
987,1.0,0.7933334990533678
1597,1.0,0.8037807707333801
13,2.0,0.8374590998908342
21,2.0,0.824573052201571
34,2.0,0.8190193642295784
55,2.0,0.8103291055328333
89,2.0,0.7973822044661113
144,2.0,0.7850731656944276
233,2.0,0.7723202086049351
377,2.0,0.7651074467780644
610,2.0,0.7874363605120118
987,2.0,0.8095657849785307
1597,2.0,0.8246806948128982
13,3.0,0.8759945222925474
21,3.0,0.860713468892696
34,3.0,0.8575001599780607
55,3.0,0.8423137377486641
89,3.0,0.826256240862836
144,3.0,0.8142910866307834
233,3.0,0.8043817289780114
377,3.0,0.7983666457290836
610,3.0,0.815987465015703
987,3.0,0.8268807675248949
1597,3.0,0.8399393066005167
13,4.0,0.9073729798064788
21,4.0,0.8932579585504655
34,4.0,0.8945368992952555
55,4.0,0.8741677214461947
89,4.0,0.8539800619484051
144,4.0,0.8404359569903479
233,4.0,0.8354887716557385
377,4.0,0.839486874233212
610,4.0,0.8474921348739978
987,4.0,0.8424361147037582
1597,4.0,0.8490832348346115
13,5.0,0.9308015159313308
21,5.0,0.920866424458111
34,5.0,0.9257275396813018
55,5.0,0.9040557427214962
89,5.0,0.8803685729565534
144,5.0,0.8643125101807166
233,5.0,0.8642903657077373
377,5.0,0.8806960373602148
610,5.0,0.877289531583637
987,5.0,0.8553271120871326
1597,5.0,0.8537494179807472
