window,q,rho
13,-5.0,0.004546098563593455
21,-5.0,0.0031305065995320095
34,-5.0,0.0010701400883675748
55,-5.0,0.0001355612540351215
89,-5.0,-0.0014435791939696886
144,-5.0,-0.0020591367548367682
233,-5.0,-0.0017364520777334372
377,-5.0,-0.0015645240095020355
610,-5.0,-0.0012454102720422645
987,-5.0,-0.0009170823668794056
1597,-5.0,0.00033061003722862893
2584,-5.0,0.0006239823111747013
4181,-5.0,0.0020660049362207227
13,-4.0,0.0034022537021074803
21,-4.0,0.002437288437079913
34,-4.0,0.0007982217315346374
55,-4.0,0.00019430961165735195
89,-4.0,-0.0011316442918589912
144,-4.0,-0.0016003482394877973
233,-4.0,-0.0012580723283183283
377,-4.0,-0.0011323309562481074
610,-4.0,-0.0008266775928617881
987,-4.0,-0.0006401707194032395
1597,-4.0,0.00043929710764935704
2584,-4.0,0.0006741083917039523
4181,-4.0,0.0021067135821890813
13,-3.0,0.0026605073661925315
21,-3.0,0.0019301157001271859
34,-3.0,0.0006678745767028506
55,-3.0,0.0003031801254501929
89,-3.0,-0.0007898763821474435
144,-3.0,-0.0011223109096059874
233,-3.0,-0.000778110851574614
377,-3.0,-0.0007015029195776402
610,-3.0,-0.0004105295544262297
987,-3.0,-0.0003641262116826101
1597,-3.0,0.0005502854638600598
2584,-3.0,0.0007254019672100888
4181,-3.0,0.0021476091043811786
13,-2.0,0.002253814102882565
21,-2.0,0.0015918911616998306
34,-2.0,0.000675351450753458
55,-2.0,0.00046818543869006575
89,-2.0,-0.0004149149789047241
144,-2.0,-0.0006250383267069087
233,-2.0,-0.00029615995810034987
377,-2.0,-0.0002719040450365049
610,-2.0,3.1469753770107696e-06
987,-2.0,-8.879358906030203e-05
1597,-2.0,0.0006636215607242758
2584,-2.0,0.0007778609264516662
4181,-2.0,0.002188691115840029
13,-1.0,0.002109314870734289
21,-1.0,0.0014100390185914826
34,-1.0,0.0008205333124846301
55,-1.0,0.0006964321822685666
89,-1.0,-3.4711144001332678e-06
144,-1.0,-0.00010855390826364378
233,-1.0,0.00018824209660084758
377,-1.0,0.0001566364547706378
610,-1.0,0.00041448076085495695
987,-1.0,0.0001859827190913572
1597,-1.0,0.0007793520180302789
2584,-1.0,0.0008314828887585588
4181,-1.0,0.002229959215683272
13,0.0,0.0021566105230108883
21,0.0,0.0013770409714508203
34,0.0,0.0011067869788099576
55,0.0,0.0009959785870732934
89,0.0,0.0004476695782848887
144,0.0,0.0004271182542341615
233,0.0,0.000675615783305048
377,0.0,0.0005843234585462904
610,0.0,0.0008236154538837987
987,0.0,0.0004603583756891704
1597,0.0,0.0008975235666389545
2584,0.0,0.0008862652032265983
4181,0.0,0.0022714129891382774
13,1.0,0.002332536166587711
21,1.0,0.0014908924567376093
34,1.0,0.0015407103653134733
55,1.0,0.0013756700713347424
89,1.0,0.0009416485902332177
144,1.0,0.0009819623383582519
233,1.0,0.0011665449457599567
377,1.0,0.0010113950347600325
610,1.0,0.0012307088254406159
987,1.0,0.0007344889187128517
1597,1.0,0.0010181829927716876
2584,1.0,0.000942204948095931
4181,1.0,0.002313052007579744
13,2.0,0.0025832836938518293
21,2.0,0.0017554087337553015
34,2.0,0.0021317849467205694
55,2.0,0.0018449565832211008
89,2.0,0.0014815405728495162
144,2.0,0.0015559793632650455
233,2.0,0.0016616813659323336
377,2.0,0.0014381214846844164
610,2.0,0.001635931977472769
987,2.0,0.0010085295500974296
1597,2.0,0.0011413770804914556
2584,2.0,0.0009992989303155197
4181,2.0,0.002354875828569769
13,3.0,0.002864805078162711
21,3.0,0.0021803089776844275
34,3.0,0.0028919509733451973
55,3.0,0.0024136946124318106
89,3.0,0.002070363030643514
144,3.0,0.0021491952640655576
233,3.0,0.0021617491850083603
377,3.0,0.0018648043336507907
610,3.0,0.0020394685389349405
987,3.0,0.0012826349304023495
1597,3.0,0.0012671525524363672
2584,3.0,0.0010575436852959445
4181,3.0,0.0023968839959003507
13,4.0,0.0031422422263725812
21,4.0,0.002781010752096431
34,4.0,0.003835116845551305
55,4.0,0.003091935837516401
89,4.0,0.002711088874412937
144,4.0,0.002761668342568482
233,4.0,0.0026675491109304163
377,4.0,0.0022917752733282288
610,4.0,0.002441513849465289
987,4.0,0.0015569589789150272
1597,4.0,0.0013955560088711044
2584,4.0,0.0011169354768523919
4181,4.0,0.0024390760396383426
13,5.0,0.00338885778219875
21,5.0,0.0035780766816484767
34,5.0,0.0049766101312180054
55,5.0,0.003889703490705741
89,5.0,0.003406660909129635
144,5.0,0.003393495969050253
233,5.0,0.0031799623362775585
377,5.0,0.002719395056991047
610,5.0,0.0028422741338118016
987,5.0,0.0018316546788506745
1597,5.0,0.001526633865127839
2584,5.0,0.0011774702973394635
4181,5.0,0.0024814514761727887
