window,q,rho
13,-5.0,0.04593983307916635
21,-5.0,0.21764079704563385
34,-5.0,0.41003612784852794
55,-5.0,0.4881896598902257
89,-5.0,0.5230805847790793
144,-5.0,0.6893912576492432
233,-5.0,0.7584102251113244
377,-5.0,0.9343618692651176
610,-5.0,0.9461392554832293
987,-5.0,0.9384811583957431
1597,-5.0,0.9142990979414265
13,-4.0,0.10251883104128137
21,-4.0,0.2731831939690518
34,-4.0,0.4431100879214889
55,-4.0,0.5193799369880413
89,-4.0,0.5660528069463636
144,-4.0,0.6944045671903969
233,-4.0,0.7858244852764273
377,-4.0,0.9381680504904606
610,-4.0,0.9473220121230553
987,-4.0,0.9385477119443795
1597,-4.0,0.9147112144559069
13,-3.0,0.1751815334384343
21,-3.0,0.338188464798572
34,-3.0,0.48125226547961225
55,-3.0,0.5550719099895645
89,-3.0,0.6084778316801726
144,-3.0,0.7112741070420017
233,-3.0,0.8203248873540314
377,-3.0,0.942268164238663
610,-3.0,0.9485405664786237
987,-3.0,0.9386954720660216
1597,-3.0,0.915317441497396
13,-2.0,0.2604967029091504
21,-2.0,0.4080784851043462
34,-2.0,0.5235840852509621
55,-2.0,0.5942186253194923
89,-2.0,0.6519096529674718
144,-2.0,0.7422202897682824
233,-2.0,0.8567994227551237
377,-2.0,0.9465434333911279
610,-2.0,0.9497741246325541
987,-2.0,0.9389408593649033
1597,-2.0,0.9161782815917803
13,-1.0,0.3521228378151989
21,-1.0,0.47833907298527706
34,-1.0,0.5693600268828637
55,-1.0,0.6363249200303579
89,-1.0,0.6977474818367467
144,-1.0,0.784531618704885
233,-1.0,0.8895268489498852
377,-1.0,0.9508608570593732
610,-1.0,0.9510014794563035
987,-1.0,0.9393030416161385
1597,-1.0,0.9173674394241558
13,0.0,0.44406812316160604
21,0.0,0.546401240443596
34,0.0,0.6177693122278937
55,0.0,0.6808495388396429
89,0.0,0.7461160102576069
144,0.0,0.8311843720028791
233,0.0,0.9156676308920427
377,0.0,0.9550861115975067
610,0.0,0.9522019377381926
987,0.0,0.9398036787104311
1597,0.0,0.9189692310157555
13,1.0,0.5322255339699498
21,1.0,0.6111846201384477
34,1.0,0.6673727804976585
55,1.0,0.7265911828641364
89,1.0,0.7950401584478418
144,1.0,0.874412253875908
233,1.0,0.9353039008093943
377,1.0,0.9590984495193852
610,1.0,0.9533561266121306
987,1.0,0.9404661425678766
1597,1.0,0.9210706646951968
13,2.0,0.6136097893178769
21,2.0,0.6714490047725886
34,2.0,0.7159237681494526
55,2.0,0.7714951195473815
89,2.0,0.8408902899599859
144,2.0,0.9092245639143751
233,2.0,0.9496770271343137
377,2.0,0.9628037376823116
610,2.0,0.9544466310284652
987,2.0,0.9413140156500757
1597,2.0,0.9237458797432062
13,3.0,0.6855438193830328
21,3.0,0.7250813172202123
34,3.0,0.7609427666987324
55,3.0,0.8130194501207231
89,3.0,0.8801167019228211
144,3.0,0.9344220946939622
233,3.0,0.960067422724082
377,3.0,0.9661420682634324
610,3.0,0.9554584438338207
987,3.0,0.9423687278196462
1597,3.0,0.9270324722823603
13,4.0,0.7459759949212792
21,4.0,0.7699301655709522
34,4.0,0.8005769046631401
55,4.0,0.8489099620523948
89,4.0,0.9108662731072404
144,4.0,0.9513626266130536
233,4.0,0.9675091510911676
377,4.0,0.9690884064959707
610,4.0,0.9563792355644505
987,4.0,0.9436463471349826
1597,4.0,0.9309039383521546
13,5.0,0.7942575300806232
21,5.0,0.8051077914422268
34,5.0,0.8340179363101841
55,5.0,0.8779417963914532
89,5.0,0.9332811637929596
144,5.0,0.9622450618285686
233,5.0,0.9728028636254037
377,5.0,0.9716472840285117
610,5.0,0.9571994682310704
987,5.0,0.945153812093097
1597,5.0,0.9352490450483997
