window,q,rho
13,-5.0,-0.256869601773132
21,-5.0,-0.35988901046030813
34,-5.0,-0.36708960385855616
55,-5.0,-0.3637578273424384
89,-5.0,-0.2581656950481798
144,-5.0,-0.08830695805759237
233,-5.0,0.2314253678787053
377,-5.0,0.3800643094711525
610,-5.0,0.39305714616021753
987,-5.0,0.4070485306502357
1597,-5.0,0.31825422228735156
13,-4.0,-0.3436991394567356
21,-4.0,-0.40638866630019965
34,-4.0,-0.40753615816658245
55,-4.0,-0.37219945377682406
89,-4.0,-0.27079691274207945
144,-4.0,-0.11288254773251044
233,-4.0,0.21646460209653753
377,-4.0,0.4022233048265606
610,-4.0,0.4113540870268277
987,-4.0,0.38712952631177494
1597,-4.0,0.2934372374011681
13,-3.0,-0.41698495739161284
21,-3.0,-0.44988391281772616
34,-3.0,-0.44225313519847564
55,-3.0,-0.3888125769990277
89,-3.0,-0.28636684601132556
144,-3.0,-0.12019321545178697
233,-3.0,0.20961240371743514
377,-3.0,0.4205805463408899
610,-3.0,0.4205002715613929
987,-3.0,0.36392671856818337
1597,-3.0,0.2608920401395809
13,-2.0,-0.48112212185699865
21,-2.0,-0.49292829691137696
34,-2.0,-0.47717980542645466
55,-2.0,-0.41439388873133803
89,-2.0,-0.30464651799991105
144,-2.0,-0.1142745846688643
233,-2.0,0.21098231119530125
377,-2.0,0.43490575381980145
610,-2.0,0.4214036348649
987,-2.0,0.3364598625806881
1597,-2.0,0.2182061286984506
13,-1.0,-0.5416175254049446
21,-1.0,-0.5388426278594245
34,-1.0,-0.5167810138140557
55,-1.0,-0.4489617927860003
89,-1.0,-0.32615583121371516
144,-1.0,-0.10307369040045597
233,-1.0,0.21873450355606971
377,-1.0,0.44542364136979734
610,-1.0,0.4149701653921756
987,-1.0,0.30366975646126054
1597,-1.0,0.16329091442097493
13,0.0,-0.6024705767573779
21,0.0,-0.5897002266460194
34,0.0,-0.5628059706404296
55,0.0,-0.49179249620061516
89,0.0,-0.3518580210672351
144,0.0,-0.09389717393839674
233,0.0,0.22995945764811468
377,0.0,0.45260306971328135
610,0.0,0.4018831529163723
987,0.0,0.2645991717203577
1597,0.0,0.09549232842931696
13,1.0,-0.6649096314028212
21,1.0,-0.6449488506817407
34,1.0,-0.6144114089252001
55,1.0,-0.5414942021628938
89,1.0,-0.38278744826503325
144,1.0,-0.09176700479182452
233,1.0,0.24191297782087615
377,1.0,0.4569655236684985
610,1.0,0.3825427493954515
987,1.0,0.21869429504062007
1597,1.0,0.016855873358073523
13,2.0,-0.7272096248037574
21,2.0,-0.7014040724855968
34,2.0,-0.6690069850512866
55,2.0,-0.5959686900803796
89,2.0,-0.4199058672761559
144,2.0,-0.09960718916131298
233,2.0,0.252789557026985
377,2.0,0.4589622580232635
610,2.0,0.35713160683967843
987,2.0,0.16619179372579237
1597,2.0,-0.06739531656768243
13,3.0,-0.7856519415910189
21,3.0,-0.7547096464947457
34,3.0,-0.723233991265404
55,3.0,-0.6523381223953126
89,3.0,-0.46406671849229497
144,3.0,-0.11862329772498581
233,3.0,0.26182013054018094
377,3.0,0.45892161977907314
610,3.0,0.32576672384046257
987,3.0,0.10845444327499709
1597,3.0,-0.15006295476707013
13,4.0,-0.8364350090699617
21,4.0,-0.8013524471015231
34,4.0,-0.7737141782662567
55,4.0,-0.7071510316010862
89,4.0,-0.5157009154229064
144,4.0,-0.14845747807333215
233,4.0,0.2689769699641906
377,4.0,0.45704592301253893
610,4.0,0.2886947399712627
987,4.0,0.048030781905081046
1597,4.0,-0.22447734564525357
13,5.0,-0.8774198668949643
21,5.0,-0.8398531943576456
34,5.0,-0.8176721580166443
55,5.0,-0.7570777263006576
89,5.0,-0.5739742110858871
144,5.0,-0.1873346698384215
233,5.0,0.2746149546445663
377,5.0,0.45343514304707333
610,5.0,0.24647824889178727
987,5.0,-0.011736414378348877
1597,5.0,-0.2866227238229371
